IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.107.174,2096,2096,TRUE,SIN,Asia Pacific,Singapore,56,9.41
8.219.106.156,2096,2096,TRUE,SIN,Asia Pacific,Singapore,58,9.41
8.219.78.1,2052,2052,FALSE,SIN,Asia Pacific,Singapore,23,9.41
47.251.74.226,443,443,TRUE,LAX,North America,Los Angeles,169,9.4
8.219.139.13,80,80,FALSE,SIN,Asia Pacific,Singapore,14,9.4
47.236.144.196,8880,8880,FALSE,SIN,Asia Pacific,Singapore,14,9.4
47.236.180.51,2086,2086,FALSE,SIN,Asia Pacific,Singapore,51,9.4
8.219.104.37,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,9.4
8.222.134.170,2096,2096,TRUE,SIN,Asia Pacific,Singapore,22,9.4
8.219.152.195,443,443,TRUE,SIN,Asia Pacific,Singapore,81,9.4
8.219.0.162,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,9.39
8.219.153.237,80,80,FALSE,NRT,Asia Pacific,Tokyo,80,9.38
8.219.248.47,2096,2096,TRUE,SIN,Asia Pacific,Singapore,134,9.38
8.219.40.255,8880,8880,FALSE,SIN,Asia Pacific,Singapore,16,9.38
8.219.84.214,2087,2087,TRUE,SIN,Asia Pacific,Singapore,126,9.37
47.236.145.85,8880,8880,FALSE,SIN,Asia Pacific,Singapore,16,9.36
8.219.50.180,8880,8880,FALSE,SIN,Asia Pacific,Singapore,7,9.36
47.236.165.25,80,80,FALSE,SIN,Asia Pacific,Singapore,19,9.35
8.219.51.211,8080,8080,FALSE,SIN,Asia Pacific,Singapore,8,9.35
47.236.150.13,2083,2083,TRUE,SIN,Asia Pacific,Singapore,68,9.35
8.217.85.14,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,66,9.35
8.219.0.162,80,80,FALSE,SIN,Asia Pacific,Singapore,31,9.34
8.222.244.123,8880,8880,FALSE,SIN,Asia Pacific,Singapore,14,9.34
47.236.170.54,80,80,FALSE,SIN,Asia Pacific,Singapore,9,9.33
8.219.111.175,2083,2083,TRUE,SIN,Asia Pacific,Singapore,48,9.33
8.219.163.195,8443,8443,TRUE,SIN,Asia Pacific,Singapore,62,9.33
8.222.209.223,8880,8880,FALSE,SIN,Asia Pacific,Singapore,12,9.33
8.222.244.123,2096,2096,TRUE,SIN,Asia Pacific,Singapore,61,9.32
47.236.144.196,2095,2095,FALSE,SIN,Asia Pacific,Singapore,26,9.32
8.217.250.5,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,38,9.31
8.222.164.209,2053,2053,TRUE,SIN,Asia Pacific,Singapore,87,9.31
8.218.11.90,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,46,9.3
8.219.193.202,2086,2086,FALSE,SIN,Asia Pacific,Singapore,35,9.3
8.219.193.202,8880,8880,FALSE,SIN,Asia Pacific,Singapore,38,9.3
8.219.100.155,8443,8443,TRUE,SIN,Asia Pacific,Singapore,75,9.3
8.218.11.90,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,37,9.3
8.219.99.169,8443,8443,TRUE,SIN,Asia Pacific,Singapore,72,9.29
8.219.147.58,2086,2086,FALSE,SIN,Asia Pacific,Singapore,5,9.29
47.236.166.131,80,80,FALSE,SIN,Asia Pacific,Singapore,18,9.29
8.222.222.64,2086,2086,FALSE,SIN,Asia Pacific,Singapore,23,9.29
8.222.215.228,2095,2095,FALSE,SIN,Asia Pacific,Singapore,16,9.29
8.217.251.62,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,54,9.28
8.222.193.208,2052,2052,FALSE,SIN,Asia Pacific,Singapore,33,9.28
8.219.4.122,2095,2095,FALSE,SIN,Asia Pacific,Singapore,11,9.28
8.218.110.180,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,51,9.28
47.236.169.164,8080,8080,FALSE,SIN,Asia Pacific,Singapore,39,9.28
8.218.119.115,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,100,9.28
8.218.85.128,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,50,9.27
8.210.250.120,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,62,9.27
8.219.170.180,2083,2083,TRUE,SIN,Asia Pacific,Singapore,105,9.27
8.219.98.13,2082,2082,FALSE,SIN,Asia Pacific,Singapore,13,9.27
47.242.79.71,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,67,9.27
8.219.98.13,8443,8443,TRUE,SIN,Asia Pacific,Singapore,78,9.27
8.222.252.150,2053,2053,TRUE,SIN,Asia Pacific,Singapore,77,9.27
8.222.134.170,2096,2096,TRUE,SIN,Asia Pacific,Singapore,48,9.26
8.219.13.143,8880,8880,FALSE,SIN,Asia Pacific,Singapore,20,9.26
8.219.99.8,2095,2095,FALSE,SIN,Asia Pacific,Singapore,6,9.25
8.219.247.203,2087,2087,TRUE,SIN,Asia Pacific,Singapore,95,9.25
47.236.170.54,8443,8443,TRUE,SIN,Asia Pacific,Singapore,123,9.24
8.219.170.232,2053,2053,TRUE,SIN,Asia Pacific,Singapore,76,9.24
8.222.226.15,8880,8880,FALSE,SIN,Asia Pacific,Singapore,12,9.24
47.236.170.54,2082,2082,FALSE,SIN,Asia Pacific,Singapore,36,9.24
8.219.78.1,2053,2053,TRUE,SIN,Asia Pacific,Singapore,46,9.22
8.219.229.190,2087,2087,TRUE,SIN,Asia Pacific,Singapore,94,9.22
8.210.250.120,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,68,9.22
8.219.72.51,8443,8443,TRUE,SIN,Asia Pacific,Singapore,55,9.21
8.222.212.172,80,80,FALSE,SIN,Asia Pacific,Singapore,13,9.21
8.219.86.200,2053,2053,TRUE,SIN,Asia Pacific,Singapore,69,9.21
8.219.151.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,9.2
47.236.169.164,2053,2053,TRUE,SIN,Asia Pacific,Singapore,82,9.2
8.222.214.13,2096,2096,TRUE,SIN,Asia Pacific,Singapore,118,9.2
8.222.249.98,2087,2087,TRUE,SIN,Asia Pacific,Singapore,108,9.2
8.219.100.168,8880,8880,FALSE,SIN,Asia Pacific,Singapore,11,9.2
8.222.140.87,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,9.19
8.218.105.223,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,55,9.19
47.236.97.90,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,9.19
8.219.178.101,2053,2053,TRUE,SIN,Asia Pacific,Singapore,71,9.19
8.219.1.92,2052,2052,FALSE,SIN,Asia Pacific,Singapore,12,9.19
8.219.126.3,2052,2052,FALSE,SIN,Asia Pacific,Singapore,17,9.19
8.219.126.240,8443,8443,TRUE,SIN,Asia Pacific,Singapore,72,9.18
8.219.106.15,8880,8880,FALSE,SIN,Asia Pacific,Singapore,13,9.18
8.222.167.147,80,80,FALSE,SIN,Asia Pacific,Singapore,17,9.18
47.242.79.71,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,59,9.17
47.236.165.25,2086,2086,FALSE,SIN,Asia Pacific,Singapore,33,9.17
8.219.84.102,2082,2082,FALSE,SIN,Asia Pacific,Singapore,10,9.17
8.219.73.21,8443,8443,TRUE,SIN,Asia Pacific,Singapore,44,9.17
47.236.169.15,2087,2087,TRUE,SIN,Asia Pacific,Singapore,106,9.17
8.219.83.201,2053,2053,TRUE,SIN,Asia Pacific,Singapore,74,9.15
8.222.208.83,8880,8880,FALSE,SIN,Asia Pacific,Singapore,5,9.14
8.210.39.96,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,70,9.14
47.251.74.226,80,80,FALSE,LAX,North America,Los Angeles,174,9.14
8.222.193.208,443,443,TRUE,SIN,Asia Pacific,Singapore,54,9.14
8.219.100.168,8880,8880,FALSE,SIN,Asia Pacific,Singapore,7,9.13
8.222.222.64,2096,2096,TRUE,SIN,Asia Pacific,Singapore,85,9.13
8.219.13.143,8443,8443,TRUE,SIN,Asia Pacific,Singapore,60,9.13
8.219.5.10,2087,2087,TRUE,SIN,Asia Pacific,Singapore,60,9.13
8.219.101.72,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,9.12
8.222.221.109,443,443,TRUE,SIN,Asia Pacific,Singapore,131,9.12
47.236.104.11,2096,2096,TRUE,SIN,Asia Pacific,Singapore,43,9.11
47.236.144.48,8443,8443,TRUE,SIN,Asia Pacific,Singapore,45,9.11
8.222.214.231,2087,2087,TRUE,SIN,Asia Pacific,Singapore,54,9.11
8.222.249.190,2096,2096,TRUE,SIN,Asia Pacific,Singapore,107,9.11
8.219.106.15,2095,2095,FALSE,SIN,Asia Pacific,Singapore,29,9.11
8.219.67.133,2087,2087,TRUE,SIN,Asia Pacific,Singapore,102,9.09
47.236.116.26,2052,2052,FALSE,SIN,Asia Pacific,Singapore,20,9.09
47.74.5.99,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,105,9.09
47.236.172.95,2082,2082,FALSE,SIN,Asia Pacific,Singapore,26,9.09
8.219.100.155,2083,2083,TRUE,SIN,Asia Pacific,Singapore,92,9.09
8.222.222.64,80,80,FALSE,SIN,Asia Pacific,Singapore,4,9.09
8.217.221.165,443,443,TRUE,HKG,Asia Pacific,Hong Kong,68,9.08
8.219.242.208,80,80,FALSE,SIN,Asia Pacific,Singapore,24,9.07
8.218.126.53,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,107,9.07
8.219.106.156,2096,2096,TRUE,SIN,Asia Pacific,Singapore,72,9.06
47.236.146.249,2095,2095,FALSE,SIN,Asia Pacific,Singapore,23,9.06
8.219.157.97,8443,8443,TRUE,SIN,Asia Pacific,Singapore,93,9.06
8.222.224.17,80,80,FALSE,SIN,Asia Pacific,Singapore,8,9.05
8.219.202.130,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,9.05
8.222.249.98,443,443,TRUE,SIN,Asia Pacific,Singapore,87,9.05
8.219.222.8,8443,8443,TRUE,SIN,Asia Pacific,Singapore,119,9.05
8.218.142.253,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,44,9.05
8.219.51.211,80,80,FALSE,SIN,Asia Pacific,Singapore,6,9.04
8.219.107.199,2086,2086,FALSE,SIN,Asia Pacific,Singapore,38,9.04
8.222.160.176,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,9.04
8.222.180.242,2095,2095,FALSE,SIN,Asia Pacific,Singapore,4,9.03
8.219.161.129,8443,8443,TRUE,SIN,Asia Pacific,Singapore,65,9.03
8.219.153.237,80,80,FALSE,NRT,Asia Pacific,Tokyo,83,9.03
8.217.250.222,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,74,9.03
8.219.110.88,2052,2052,FALSE,SIN,Asia Pacific,Singapore,3,9.03
8.210.245.224,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,65,9.02
